"filename", "language", "JavaScript", "CSS", "C++", "Swift", "CMake", "JSON", "Dart", "HTML", "XML", "Markdown", "YAML", "Groovy", "Java Properties", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\campuran.dart", "Dart", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 3, 7, 187
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 1699, 0, 0, 0, 0, 0, 0, 58, 124, 1881
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\invest.dart", "Dart", 0, 0, 0, 0, 0, 0, 720, 0, 0, 0, 0, 0, 0, 6, 52, 778
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pasaruang.dart", "Dart", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 3, 7, 181
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pendapatantetap.dart", "Dart", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 3, 6, 184
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\profil.dart", "Dart", 0, 0, 0, 0, 0, 0, 721, 0, 0, 0, 0, 0, 0, 31, 89, 841
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\saham.dart", "Dart", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 3, 6, 184
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\transaksi.dart", "Dart", 0, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 3, 11, 296
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 12, 6, 84
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 9, 70
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 592, 0, 0, 0, 0, 0, 0, 12, 58, 662
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage2.dart", "Dart", 0, 0, 0, 0, 0, 0, 587, 0, 0, 0, 0, 0, 0, 42, 65, 694
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\changepinpage3.dart", "Dart", 0, 0, 0, 0, 0, 0, 654, 0, 0, 0, 0, 0, 0, 23, 67, 744
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\homepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 11, 28, 294
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\loginpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 1, 19, 206
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\mainpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 2, 9, 86
